choice,TT_1,TT_2,TT_3,TC_1,TC_2,TC_3
3,35,23,31,3,5,4
1,27,23,35,4,5,3
2,35,27,31,3,6,5
2,23,27,35,6,5,3
3,35,31,23,3,5,6
1,27,23,31,5,6,3
2,35,31,27,3,4,6
2,23,27,31,6,4,3
1,23,27,35,6,4,3
3,27,35,23,5,4,6
2,35,23,31,3,5,4
2,27,23,35,4,5,3
2,35,27,31,3,6,5
1,23,27,35,6,5,3
3,35,31,23,3,5,6
2,27,23,31,5,6,3
3,35,31,27,3,4,6
1,23,27,31,6,4,3
2,23,27,35,6,4,3
2,27,35,23,5,4,6
3,35,23,31,3,5,4
3,27,23,35,4,5,3
1,35,27,31,3,6,5
3,23,27,35,6,5,3
1,35,31,23,3,5,6
3,27,23,31,5,6,3
1,35,31,27,3,4,6
3,23,27,31,6,4,3
2,23,27,35,6,4,3
1,27,35,23,5,4,6
2,35,23,31,3,5,4
2,27,23,35,4,5,3
3,35,27,31,3,6,5
2,23,27,35,6,5,3
2,35,31,23,3,5,6
1,27,23,31,5,6,3
2,35,31,27,3,4,6
2,23,27,31,6,4,3
2,23,27,35,6,4,3
1,27,35,23,5,4,6
1,35,23,31,3,5,4
1,27,23,35,4,5,3
1,35,27,31,3,6,5
2,23,27,35,6,5,3
2,35,31,23,3,5,6
1,27,23,31,5,6,3
1,35,31,27,3,4,6
2,23,27,31,6,4,3
2,23,27,35,6,4,3
1,27,35,23,5,4,6
2,35,23,31,3,5,4
1,27,23,35,4,5,3
2,35,27,31,3,6,5
2,23,27,35,6,5,3
2,35,31,23,3,5,6
1,27,23,31,5,6,3
2,35,31,27,3,4,6
2,23,27,31,6,4,3
2,23,27,35,6,4,3
1,27,35,23,5,4,6
2,35,23,31,3,5,4
1,27,23,35,4,5,3
1,35,27,31,3,6,5
2,23,27,35,6,5,3
1,35,31,23,3,5,6
1,27,23,31,5,6,3
2,35,31,27,3,4,6
3,23,27,31,6,4,3
3,23,27,35,6,4,3
2,27,35,23,5,4,6
1,35,23,31,3,5,4
3,27,23,35,4,5,3
1,35,27,31,3,6,5
3,23,27,35,6,5,3
1,35,31,23,3,5,6
3,27,23,31,5,6,3
1,35,31,27,3,4,6
3,23,27,31,6,4,3
2,23,27,35,6,4,3
3,27,35,23,5,4,6
2,35,23,31,3,5,4
2,27,23,35,4,5,3
2,35,27,31,3,6,5
2,23,27,35,6,5,3
3,35,31,23,3,5,6
2,27,23,31,5,6,3
1,35,31,27,3,4,6
2,23,27,31,6,4,3
2,23,27,35,6,4,3
2,27,35,23,5,4,6
2,35,23,31,3,5,4
1,27,23,35,4,5,3
1,35,27,31,3,6,5
2,23,27,35,6,5,3
2,35,31,23,3,5,6
3,27,23,31,5,6,3
2,35,31,27,3,4,6
2,23,27,31,6,4,3
1,23,27,35,6,4,3
3,27,35,23,5,4,6
2,35,23,31,3,5,4
2,27,23,35,4,5,3
3,35,27,31,3,6,5
1,23,27,35,6,5,3
3,35,31,23,3,5,6
2,27,23,31,5,6,3
3,35,31,27,3,4,6
1,23,27,31,6,4,3
1,23,27,35,6,4,3
3,27,35,23,5,4,6
2,35,23,31,3,5,4
2,27,23,35,4,5,3
2,35,27,31,3,6,5
1,23,27,35,6,5,3
3,35,31,23,3,5,6
2,27,23,31,5,6,3
2,35,31,27,3,4,6
1,23,27,31,6,4,3
2,23,27,35,6,4,3
2,27,35,23,5,4,6
3,35,23,31,3,5,4
1,27,23,35,4,5,3
3,35,27,31,3,6,5
2,23,27,35,6,5,3
2,35,31,23,3,5,6
1,27,23,31,5,6,3
2,35,31,27,3,4,6
2,23,27,31,6,4,3
3,23,27,35,6,4,3
2,27,35,23,5,4,6
1,35,23,31,3,5,4
3,27,23,35,4,5,3
1,35,27,31,3,6,5
3,23,27,35,6,5,3
1,35,31,23,3,5,6
3,27,23,31,5,6,3
1,35,31,27,3,4,6
3,23,27,31,6,4,3
3,23,27,35,6,4,3
2,27,35,23,5,4,6
1,35,23,31,3,5,4
3,27,23,35,4,5,3
1,35,27,31,3,6,5
3,23,27,35,6,5,3
1,35,31,23,3,5,6
3,27,23,31,5,6,3
1,35,31,27,3,4,6
3,23,27,31,6,4,3
2,23,27,35,6,4,3
1,27,35,23,5,4,6
2,35,23,31,3,5,4
2,27,23,35,4,5,3
1,35,27,31,3,6,5
2,23,27,35,6,5,3
3,35,31,23,3,5,6
1,27,23,31,5,6,3
1,35,31,27,3,4,6
3,23,27,31,6,4,3
3,23,27,35,6,4,3
2,27,35,23,5,4,6
1,35,23,31,3,5,4
3,27,23,35,4,5,3
1,35,27,31,3,6,5
3,23,27,35,6,5,3
1,35,31,23,3,5,6
3,27,23,31,5,6,3
1,35,31,27,3,4,6
3,23,27,31,6,4,3
1,23,27,35,6,4,3
3,27,35,23,5,4,6
2,35,23,31,3,5,4
2,27,23,35,4,5,3
2,35,27,31,3,6,5
1,23,27,35,6,5,3
3,35,31,23,3,5,6
2,27,23,31,5,6,3
3,35,31,27,3,4,6
1,23,27,31,6,4,3
2,23,27,35,6,4,3
1,27,35,23,5,4,6
2,35,23,31,3,5,4
1,27,23,35,4,5,3
2,35,27,31,3,6,5
2,23,27,35,6,5,3
3,35,31,23,3,5,6
1,27,23,31,5,6,3
3,35,31,27,3,4,6
2,23,27,31,6,4,3
2,23,27,35,6,4,3
1,27,35,23,5,4,6
2,35,23,31,3,5,4
1,27,23,35,4,5,3
1,35,27,31,3,6,5
2,23,27,35,6,5,3
2,35,31,23,3,5,6
1,27,23,31,5,6,3
2,35,31,27,3,4,6
2,23,27,31,6,4,3
2,23,27,35,6,4,3
1,27,35,23,5,4,6
2,35,23,31,3,5,4
1,27,23,35,4,5,3
3,35,27,31,3,6,5
1,23,27,35,6,5,3
3,35,31,23,3,5,6
2,27,23,31,5,6,3
3,35,31,27,3,4,6
1,23,27,31,6,4,3
3,23,27,35,6,4,3
2,27,35,23,5,4,6
1,35,23,31,3,5,4
3,27,23,35,4,5,3
1,35,27,31,3,6,5
3,23,27,35,6,5,3
1,35,31,23,3,5,6
3,27,23,31,5,6,3
1,35,31,27,3,4,6
3,23,27,31,6,4,3
3,23,27,35,6,4,3
2,27,35,23,5,4,6
1,35,23,31,3,5,4
3,27,23,35,4,5,3
1,35,27,31,3,6,5
3,23,27,35,6,5,3
1,35,31,23,3,5,6
3,27,23,31,5,6,3
1,35,31,27,3,4,6
3,23,27,31,6,4,3
1,23,27,35,6,4,3
3,27,35,23,5,4,6
2,35,23,31,3,5,4
2,27,23,35,4,5,3
2,35,27,31,3,6,5
2,23,27,35,6,5,3
3,35,31,23,3,5,6
2,27,23,31,5,6,3
3,35,31,27,3,4,6
1,23,27,31,6,4,3
2,23,27,35,6,4,3
3,27,35,23,5,4,6
2,35,23,31,3,5,4
3,27,23,35,4,5,3
2,35,27,31,3,6,5
3,23,27,35,6,5,3
1,35,31,23,3,5,6
3,27,23,31,5,6,3
2,35,31,27,3,4,6
3,23,27,31,6,4,3
2,23,27,35,6,4,3
1,27,35,23,5,4,6
3,35,23,31,3,5,4
1,27,23,35,4,5,3
1,35,27,31,3,6,5
2,23,27,35,6,5,3
2,35,31,23,3,5,6
3,27,23,31,5,6,3
1,35,31,27,3,4,6
2,23,27,31,6,4,3
3,23,27,35,6,4,3
2,27,35,23,5,4,6
1,35,23,31,3,5,4
3,27,23,35,4,5,3
1,35,27,31,3,6,5
1,23,27,35,6,5,3
1,35,31,23,3,5,6
2,27,23,31,5,6,3
1,35,31,27,3,4,6
3,23,27,31,6,4,3
2,23,27,35,6,4,3
3,27,35,23,5,4,6
3,35,23,31,3,5,4
1,27,23,35,4,5,3
3,35,27,31,3,6,5
2,23,27,35,6,5,3
2,35,31,23,3,5,6
3,27,23,31,5,6,3
1,35,31,27,3,4,6
3,23,27,31,6,4,3
2,23,27,35,6,4,3
1,27,35,23,5,4,6
2,35,23,31,3,5,4
2,27,23,35,4,5,3
3,35,27,31,3,6,5
2,23,27,35,6,5,3
2,35,31,23,3,5,6
1,27,23,31,5,6,3
2,35,31,27,3,4,6
2,23,27,31,6,4,3
1,23,27,35,6,4,3
3,27,35,23,5,4,6
2,35,23,31,3,5,4
2,27,23,35,4,5,3
3,35,27,31,3,6,5
1,23,27,35,6,5,3
3,35,31,23,3,5,6
2,27,23,31,5,6,3
2,35,31,27,3,4,6
2,23,27,31,6,4,3
2,23,27,35,6,4,3
2,27,35,23,5,4,6
1,35,23,31,3,5,4
2,27,23,35,4,5,3
3,35,27,31,3,6,5
2,23,27,35,6,5,3
2,35,31,23,3,5,6
3,27,23,31,5,6,3
1,35,31,27,3,4,6
3,23,27,31,6,4,3
3,23,27,35,6,4,3
1,27,35,23,5,4,6
3,35,23,31,3,5,4
1,27,23,35,4,5,3
3,35,27,31,3,6,5
2,23,27,35,6,5,3
2,35,31,23,3,5,6
1,27,23,31,5,6,3
2,35,31,27,3,4,6
2,23,27,31,6,4,3
2,23,27,35,6,4,3
3,27,35,23,5,4,6
2,35,23,31,3,5,4
1,27,23,35,4,5,3
2,35,27,31,3,6,5
2,23,27,35,6,5,3
3,35,31,23,3,5,6
2,27,23,31,5,6,3
2,35,31,27,3,4,6
1,23,27,31,6,4,3
1,23,27,35,6,4,3
1,27,35,23,5,4,6
3,35,23,31,3,5,4
1,27,23,35,4,5,3
2,35,27,31,3,6,5
1,23,27,35,6,5,3
3,35,31,23,3,5,6
1,27,23,31,5,6,3
3,35,31,27,3,4,6
1,23,27,31,6,4,3
1,23,27,35,6,4,3
3,27,35,23,5,4,6
2,35,23,31,3,5,4
2,27,23,35,4,5,3
2,35,27,31,3,6,5
1,23,27,35,6,5,3
3,35,31,23,3,5,6
2,27,23,31,5,6,3
3,35,31,27,3,4,6
1,23,27,31,6,4,3
2,23,27,35,6,4,3
1,27,35,23,5,4,6
2,35,23,31,3,5,4
1,27,23,35,4,5,3
2,35,27,31,3,6,5
2,23,27,35,6,5,3
3,35,31,23,3,5,6
1,27,23,31,5,6,3
2,35,31,27,3,4,6
2,23,27,31,6,4,3
2,23,27,35,6,4,3
1,27,35,23,5,4,6
2,35,23,31,3,5,4
1,27,23,35,4,5,3
3,35,27,31,3,6,5
2,23,27,35,6,5,3
2,35,31,23,3,5,6
3,27,23,31,5,6,3
2,35,31,27,3,4,6
3,23,27,31,6,4,3
2,23,27,35,6,4,3
1,27,35,23,5,4,6
2,35,23,31,3,5,4
1,27,23,35,4,5,3
1,35,27,31,3,6,5
2,23,27,35,6,5,3
1,35,31,23,3,5,6
1,27,23,31,5,6,3
2,35,31,27,3,4,6
2,23,27,31,6,4,3
2,23,27,35,6,4,3
1,27,35,23,5,4,6
2,35,23,31,3,5,4
2,27,23,35,4,5,3
2,35,27,31,3,6,5
2,23,27,35,6,5,3
3,35,31,23,3,5,6
2,27,23,31,5,6,3
3,35,31,27,3,4,6
2,23,27,31,6,4,3
2,23,27,35,6,4,3
1,27,35,23,5,4,6
3,35,23,31,3,5,4
1,27,23,35,4,5,3
1,35,27,31,3,6,5
3,23,27,35,6,5,3
1,35,31,23,3,5,6
3,27,23,31,5,6,3
1,35,31,27,3,4,6
2,23,27,31,6,4,3
2,23,27,35,6,4,3
3,27,35,23,5,4,6
2,35,23,31,3,5,4
2,27,23,35,4,5,3
2,35,27,31,3,6,5
1,23,27,35,6,5,3
3,35,31,23,3,5,6
2,27,23,31,5,6,3
2,35,31,27,3,4,6
1,23,27,31,6,4,3
2,23,27,35,6,4,3
1,27,35,23,5,4,6
3,35,23,31,3,5,4
1,27,23,35,4,5,3
3,35,27,31,3,6,5
2,23,27,35,6,5,3
2,35,31,23,3,5,6
3,27,23,31,5,6,3
2,35,31,27,3,4,6
3,23,27,31,6,4,3
2,23,27,35,6,4,3
1,27,35,23,5,4,6
3,35,23,31,3,5,4
2,27,23,35,4,5,3
2,35,27,31,3,6,5
2,23,27,35,6,5,3
2,35,31,23,3,5,6
1,27,23,31,5,6,3
2,35,31,27,3,4,6
2,23,27,31,6,4,3
1,23,27,35,6,4,3
3,27,35,23,5,4,6
2,35,23,31,3,5,4
2,27,23,35,4,5,3
2,35,27,31,3,6,5
1,23,27,35,6,5,3
3,35,31,23,3,5,6
2,27,23,31,5,6,3
3,35,31,27,3,4,6
1,23,27,31,6,4,3
3,23,27,35,6,4,3
2,27,35,23,5,4,6
1,35,23,31,3,5,4
3,27,23,35,4,5,3
1,35,27,31,3,6,5
3,23,27,35,6,5,3
1,35,31,23,3,5,6
3,27,23,31,5,6,3
1,35,31,27,3,4,6
3,23,27,31,6,4,3
2,23,27,35,6,4,3
1,27,35,23,5,4,6
2,35,23,31,3,5,4
1,27,23,35,4,5,3
2,35,27,31,3,6,5
2,23,27,35,6,5,3
2,35,31,23,3,5,6
1,27,23,31,5,6,3
3,35,31,27,3,4,6
2,23,27,31,6,4,3
2,23,27,35,6,4,3
1,27,35,23,5,4,6
2,35,23,31,3,5,4
1,27,23,35,4,5,3
3,35,27,31,3,6,5
2,23,27,35,6,5,3
1,35,31,23,3,5,6
1,27,23,31,5,6,3
2,35,31,27,3,4,6
2,23,27,31,6,4,3
2,23,27,35,6,4,3
3,27,35,23,5,4,6
2,35,23,31,3,5,4
1,27,23,35,4,5,3
1,35,27,31,3,6,5
3,23,27,35,6,5,3
1,35,31,23,3,5,6
3,27,23,31,5,6,3
1,35,31,27,3,4,6
3,23,27,31,6,4,3
1,23,27,35,6,4,3
1,27,35,23,5,4,6
2,35,23,31,3,5,4
2,27,23,35,4,5,3
2,35,27,31,3,6,5
1,23,27,35,6,5,3
1,35,31,23,3,5,6
3,27,23,31,5,6,3
2,35,31,27,3,4,6
3,23,27,31,6,4,3
2,23,27,35,6,4,3
1,27,35,23,5,4,6
2,35,23,31,3,5,4
1,27,23,35,4,5,3
2,35,27,31,3,6,5
2,23,27,35,6,5,3
1,35,31,23,3,5,6
3,27,23,31,5,6,3
1,35,31,27,3,4,6
2,23,27,31,6,4,3
1,23,27,35,6,4,3
3,27,35,23,5,4,6
2,35,23,31,3,5,4
2,27,23,35,4,5,3
2,35,27,31,3,6,5
1,23,27,35,6,5,3
3,35,31,23,3,5,6
2,27,23,31,5,6,3
3,35,31,27,3,4,6
1,23,27,31,6,4,3
2,23,27,35,6,4,3
1,27,35,23,5,4,6
1,35,23,31,3,5,4
2,27,23,35,4,5,3
2,35,27,31,3,6,5
2,23,27,35,6,5,3
3,35,31,23,3,5,6
2,27,23,31,5,6,3
3,35,31,27,3,4,6
2,23,27,31,6,4,3
2,23,27,35,6,4,3
1,27,35,23,5,4,6
3,35,23,31,3,5,4
1,27,23,35,4,5,3
3,35,27,31,3,6,5
2,23,27,35,6,5,3
2,35,31,23,3,5,6
1,27,23,31,5,6,3
2,35,31,27,3,4,6
2,23,27,31,6,4,3
2,23,27,35,6,4,3
1,27,35,23,5,4,6
2,35,23,31,3,5,4
1,27,23,35,4,5,3
3,35,27,31,3,6,5
2,23,27,35,6,5,3
2,35,31,23,3,5,6
1,27,23,31,5,6,3
2,35,31,27,3,4,6
2,23,27,31,6,4,3
2,23,27,35,6,4,3
1,27,35,23,5,4,6
2,35,23,31,3,5,4
1,27,23,35,4,5,3
3,35,27,31,3,6,5
2,23,27,35,6,5,3
2,35,31,23,3,5,6
1,27,23,31,5,6,3
1,35,31,27,3,4,6
2,23,27,31,6,4,3
2,23,27,35,6,4,3
3,27,35,23,5,4,6
2,35,23,31,3,5,4
1,27,23,35,4,5,3
2,35,27,31,3,6,5
1,23,27,35,6,5,3
3,35,31,23,3,5,6
1,27,23,31,5,6,3
2,35,31,27,3,4,6
2,23,27,31,6,4,3
2,23,27,35,6,4,3
2,27,35,23,5,4,6
1,35,23,31,3,5,4
3,27,23,35,4,5,3
1,35,27,31,3,6,5
3,23,27,35,6,5,3
1,35,31,23,3,5,6
3,27,23,31,5,6,3
1,35,31,27,3,4,6
3,23,27,31,6,4,3
2,23,27,35,6,4,3
1,27,35,23,5,4,6
2,35,23,31,3,5,4
2,27,23,35,4,5,3
2,35,27,31,3,6,5
1,23,27,35,6,5,3
2,35,31,23,3,5,6
1,27,23,31,5,6,3
2,35,31,27,3,4,6
2,23,27,31,6,4,3
2,23,27,35,6,4,3
1,27,35,23,5,4,6
2,35,23,31,3,5,4
1,27,23,35,4,5,3
3,35,27,31,3,6,5
3,23,27,35,6,5,3
1,35,31,23,3,5,6
3,27,23,31,5,6,3
1,35,31,27,3,4,6
2,23,27,31,6,4,3
1,23,27,35,6,4,3
1,27,35,23,5,4,6
2,35,23,31,3,5,4
2,27,23,35,4,5,3
2,35,27,31,3,6,5
1,23,27,35,6,5,3
3,35,31,23,3,5,6
2,27,23,31,5,6,3
3,35,31,27,3,4,6
1,23,27,31,6,4,3
2,23,27,35,6,4,3
1,27,35,23,5,4,6
2,35,23,31,3,5,4
1,27,23,35,4,5,3
3,35,27,31,3,6,5
2,23,27,35,6,5,3
2,35,31,23,3,5,6
1,27,23,31,5,6,3
2,35,31,27,3,4,6
2,23,27,31,6,4,3
2,23,27,35,6,4,3
1,27,35,23,5,4,6
3,35,23,31,3,5,4
1,27,23,35,4,5,3
3,35,27,31,3,6,5
2,23,27,35,6,5,3
2,35,31,23,3,5,6
1,27,23,31,5,6,3
2,35,31,27,3,4,6
2,23,27,31,6,4,3
2,23,27,35,6,4,3
2,27,35,23,5,4,6
3,35,23,31,3,5,4
1,27,23,35,4,5,3
1,35,27,31,3,6,5
2,23,27,35,6,5,3
2,35,31,23,3,5,6
3,27,23,31,5,6,3
2,35,31,27,3,4,6
2,23,27,31,6,4,3
3,23,27,35,6,4,3
2,27,35,23,5,4,6
1,35,23,31,3,5,4
3,27,23,35,4,5,3
1,35,27,31,3,6,5
